"filename", "language", "CSS", "JavaScript", "HTML", "JSON", "comment", "blank", "total"
"d:\CodeField\VSCODE_Web\Covid-19-monitor\bootstrap-5.1.1-dist\css\bootstrap-grid.css", "CSS", 3908, 0, 0, 0, 7, 1136, 5051
"d:\CodeField\VSCODE_Web\Covid-19-monitor\bootstrap-5.1.1-dist\css\bootstrap-grid.min.css", "CSS", 1, 0, 0, 0, 6, 0, 7
"d:\CodeField\VSCODE_Web\Covid-19-monitor\bootstrap-5.1.1-dist\css\bootstrap-grid.rtl.css", "CSS", 3908, 0, 0, 0, 7, 1135, 5050
"d:\CodeField\VSCODE_Web\Covid-19-monitor\bootstrap-5.1.1-dist\css\bootstrap-grid.rtl.min.css", "CSS", 1, 0, 0, 0, 6, 0, 7
"d:\CodeField\VSCODE_Web\Covid-19-monitor\bootstrap-5.1.1-dist\css\bootstrap-reboot.css", "CSS", 400, 0, 0, 0, 16, 65, 481
"d:\CodeField\VSCODE_Web\Covid-19-monitor\bootstrap-5.1.1-dist\css\bootstrap-reboot.min.css", "CSS", 1, 0, 0, 0, 7, 0, 8
"d:\CodeField\VSCODE_Web\Covid-19-monitor\bootstrap-5.1.1-dist\css\bootstrap-reboot.rtl.css", "CSS", 406, 0, 0, 0, 8, 64, 478
"d:\CodeField\VSCODE_Web\Covid-19-monitor\bootstrap-5.1.1-dist\css\bootstrap-reboot.rtl.min.css", "CSS", 1, 0, 0, 0, 7, 0, 8
"d:\CodeField\VSCODE_Web\Covid-19-monitor\bootstrap-5.1.1-dist\css\bootstrap-utilities.css", "CSS", 3729, 0, 0, 0, 9, 1128, 4866
"d:\CodeField\VSCODE_Web\Covid-19-monitor\bootstrap-5.1.1-dist\css\bootstrap-utilities.min.css", "CSS", 1, 0, 0, 0, 6, 0, 7
"d:\CodeField\VSCODE_Web\Covid-19-monitor\bootstrap-5.1.1-dist\css\bootstrap-utilities.rtl.css", "CSS", 3725, 0, 0, 0, 7, 1125, 4857
"d:\CodeField\VSCODE_Web\Covid-19-monitor\bootstrap-5.1.1-dist\css\bootstrap-utilities.rtl.min.css", "CSS", 1, 0, 0, 0, 6, 0, 7
"d:\CodeField\VSCODE_Web\Covid-19-monitor\bootstrap-5.1.1-dist\css\bootstrap.css", "CSS", 9454, 0, 0, 0, 27, 1741, 11222
"d:\CodeField\VSCODE_Web\Covid-19-monitor\bootstrap-5.1.1-dist\css\bootstrap.min.css", "CSS", 2, 0, 0, 0, 5, 0, 7
"d:\CodeField\VSCODE_Web\Covid-19-monitor\bootstrap-5.1.1-dist\css\bootstrap.rtl.css", "CSS", 9456, 0, 0, 0, 7, 1735, 11198
"d:\CodeField\VSCODE_Web\Covid-19-monitor\bootstrap-5.1.1-dist\css\bootstrap.rtl.min.css", "CSS", 2, 0, 0, 0, 5, 0, 7
"d:\CodeField\VSCODE_Web\Covid-19-monitor\bootstrap-5.1.1-dist\js\bootstrap.bundle.js", "JavaScript", 0, 4868, 0, 0, 584, 1361, 6813
"d:\CodeField\VSCODE_Web\Covid-19-monitor\bootstrap-5.1.1-dist\js\bootstrap.bundle.min.js", "JavaScript", 0, 1, 0, 0, 6, 0, 7
"d:\CodeField\VSCODE_Web\Covid-19-monitor\bootstrap-5.1.1-dist\js\bootstrap.esm.js", "JavaScript", 0, 3432, 0, 0, 495, 1073, 5000
"d:\CodeField\VSCODE_Web\Covid-19-monitor\bootstrap-5.1.1-dist\js\bootstrap.esm.min.js", "JavaScript", 0, 1, 0, 0, 6, 0, 7
"d:\CodeField\VSCODE_Web\Covid-19-monitor\bootstrap-5.1.1-dist\js\bootstrap.js", "JavaScript", 0, 3471, 0, 0, 501, 1077, 5049
"d:\CodeField\VSCODE_Web\Covid-19-monitor\bootstrap-5.1.1-dist\js\bootstrap.min.js", "JavaScript", 0, 1, 0, 0, 6, 0, 7
"d:\CodeField\VSCODE_Web\Covid-19-monitor\css\style.css", "CSS", 65, 0, 0, 0, 3, 16, 84
"d:\CodeField\VSCODE_Web\Covid-19-monitor\html\index.html", "HTML", 0, 0, 205, 0, 42, 8, 255
"d:\CodeField\VSCODE_Web\Covid-19-monitor\html\test.html", "HTML", 0, 0, 13, 0, 0, 1, 14
"d:\CodeField\VSCODE_Web\Covid-19-monitor\js\chart.js", "JavaScript", 0, 171, 0, 0, 7, 12, 190
"d:\CodeField\VSCODE_Web\Covid-19-monitor\js\echarts.min.js", "JavaScript", 0, 3, 0, 0, 40, 3, 46
"d:\CodeField\VSCODE_Web\Covid-19-monitor\js\getData.js", "JavaScript", 0, 344, 0, 0, 40, 13, 397
"d:\CodeField\VSCODE_Web\Covid-19-monitor\js\jquery-3.6.0.min.js", "JavaScript", 0, 1, 0, 0, 1, 1, 3
"d:\CodeField\VSCODE_Web\Covid-19-monitor\js\test.js", "JavaScript", 0, 69, 0, 0, 0, 3, 72
"d:\CodeField\VSCODE_Web\Covid-19-monitor\static\statistic.json", "JSON", 0, 0, 0, 385368, 0, 1, 385369
"Total", "-", 35061, 12362, 218, 385368, 1867, 11698, 446574
